country,confederation,population_share,tv_audience_share,magnitude,position,wins,runners-up,region,subregion,mostPopularSportByCountry_bleacherRep2008
United States,CONCACAF,4.5,4.3,0.955555556,Round of 16,0,0,North America,Northern America,American Football (NFL)
Japan,AFC,1.9,4.9,2.578947368,Round of 16,0,0,Asia,Eastern Asia,Baseball
China,AFC,19.5,14.8,0.758974359,DNQ,0,0,Asia,Eastern Asia,Football (soccer)
Germany,UEFA,1.2,2.9,2.416666667,Semifinals,4,4,Europe,Western Europe,Football (soccer)
Brazil,CONMEBOL,2.8,7.1,2.535714286,Quarter-finals,5,2,South America,"South America, Latin America",Football (soccer)
United Kingdom,UEFA,0.9,2.1,2.333333333,Round of 16,1,0,Europe,Northern Europe,Football (soccer)
Italy,UEFA,0.9,2.1,2.333333333,Group Stage,4,2,Europe,Southern Europe,Football (soccer)
France,UEFA,0.9,2,2.222222222,Group Stage,2,2,Europe,Western Europe,Football (soccer)
Russia,UEFA,2.1,3.1,1.476190476,DNQ,0,0,Europe,Eastern Europe,Football (soccer)
Spain,UEFA,0.7,1.8,2.571428571,Champions,1,0,Europe,Southern Europe,Football (soccer)
South Korea,AFC,0.7,1.8,2.571428571,DNQ,0,0,Asia,Eastern Asia,Football (soccer)
Indonesia,AFC,3.5,6.7,1.914285714,DNQ,0,0,Asia,South-Eastern Asia,Football (soccer)
Mexico,CONCACAF,1.7,3.2,1.882352941,Round of 16,0,0,North America,"Central America, Latin America",Football (soccer)
Türkiye,UEFA,1.1,2.3,2.090909091,DNQ,0,0,Asia,"Western Asia, The Middle East",Football (soccer)
Thailand,AFC,1,2.4,2.4,DNQ,0,0,Asia,South-Eastern Asia,Football (soccer)
Argentina,CONMEBOL,0.6,1.5,2.5,Quarter-finals,3,3,South America,"South America, Latin America",Football (soccer)
Netherlands,UEFA,0.2,0.6,3,Final,0,3,Europe,Western Europe,Football (soccer)
Poland,UEFA,0.6,1.2,2,DNQ,0,0,Europe,Eastern Europe,Football (soccer)
Saudi Arabia,AFC,0.4,0.5,1.25,DNQ,0,0,Asia,"Western Asia, The Middle East",Football (soccer)
Taiwan,AFC,0.3,0.5,1.666666667,DNQ,0,0,Asia,Eastern Asia,Baseball
Canada,CONCACAF,0.5,0.5,1,DNQ,0,0,North America,Northern America,Ice Hockey
Colombia,CONMEBOL,0.7,1.6,2.285714286,DNQ,0,0,South America,"South America, Latin America",Football (soccer)
Venezuela,CONMEBOL,0.4,1,2.5,DNQ,0,0,South America,"South America, Latin America",Baseball
South Africa,CAF,0.7,1.3,1.857142857,Group Stage,0,0,Africa,"Southern Africa, Sub-Saharan Africa",Football (soccer)
Malaysia,AFC,0.4,0.7,1.75,DNQ,0,0,Asia,South-Eastern Asia,Football (soccer)
Switzerland,UEFA,0.1,0.3,3,Group Stage,0,0,Europe,Western Europe,Football (soccer)
Nigeria,CAF,2.3,2.6,1.130434783,Group Stage,0,0,Africa,"Western Africa, Sub-Saharan Africa",Football (soccer)
Belgium,UEFA,0.2,0.3,1.5,DNQ,0,0,Europe,Western Europe,Football (soccer)
Sweden,UEFA,0.1,0.3,3,DNQ,0,0,Europe,Northern Europe,Football (soccer)
Vietnam,AFC,1.3,2.6,2,DNQ,0,0,Asia,South-Eastern Asia,Tennis
Iran,AFC,1.1,0.7,0.636363636,DNQ,0,0,Asia,"Southern Asia, The Middle East",Football (soccer)
Chile,CONMEBOL,0.3,0.6,2,Round of 16,0,0,South America,"South America, Latin America",Football (soccer)
Romania,UEFA,0.3,0.7,2.333333333,DNQ,0,0,Europe,Eastern Europe,Football (soccer)
Austria,UEFA,0.1,0.3,3,DNQ,0,0,Europe,Western Europe,Football (soccer)
Singapore,AFC,0.1,0.2,2,DNQ,0,0,Asia,South-Eastern Asia,Football (soccer)
Australia,AFC,0.3,0.3,1,Group Stage,0,0,Oceania,Australia and New Zealand,Cricket
Greece,UEFA,0.2,0.3,1.5,Group Stage,0,0,Europe,Southern Europe,Football (soccer)
Portugal,UEFA,0.2,0.4,2,Round of 16,0,0,Europe,Southern Europe,Football (soccer)
India,AFC,17.6,2,0.113636364,DNQ,0,0,Asia,"Southern Asia, South Central Asia",Cricket
Czechia,UEFA,0.2,0.3,1.5,DNQ,0,1,Europe,Eastern Europe,Football (soccer)
Egypt,CAF,1.1,0.8,0.727272727,DNQ,0,0,Africa,"Northern Africa, The Middle East",Football (soccer)
Denmark,UEFA,0.1,0.2,2,Group Stage,0,0,Europe,Northern Europe,Football (soccer)
Norway,UEFA,0.1,0.1,1,DNQ,0,0,Europe,Northern Europe,Football (soccer)
Peru,CONMEBOL,0.4,0.8,2,DNQ,0,0,South America,"South America, Latin America",Football (soccer)
Ukraine,UEFA,0.7,0.9,1.285714286,DNQ,0,0,Europe,Eastern Europe,Football (soccer)
Iraq,AFC,0.5,0.5,1,DNQ,0,0,Asia,"Western Asia, The Middle East",Football (soccer)
Hungary,UEFA,0.1,0.3,3,DNQ,0,2,Europe,Eastern Europe,Football (soccer)
Kazakhstan,UEFA,0.2,0.3,1.5,DNQ,0,0,Asia,Central Asia,Football (soccer)
Finland,UEFA,0.1,0.2,2,DNQ,0,0,Europe,Northern Europe,Ice Hockey
Ireland,UEFA,0.1,0.1,1,DNQ,0,0,Europe,Northern Europe,Gaelic Football
Algeria,CAF,0.5,0.4,0.8,Group Stage,0,0,Africa,Northern Africa,Football (soccer)
Cuba,CONCACAF,0.2,0.3,1.5,DNQ,0,0,North America,Caribbean,Baseball
Ecuador,CONMEBOL,0.2,0.5,2.5,DNQ,0,0,South America,"South America, Latin America",Football (soccer)
Slovakia,UEFA,0.1,0.2,2,Round of 16,0,1,Europe,Eastern Europe,Football (soccer)
Qatar,AFC,0,0,0.928407733,DNQ,0,0,Asia,"Western Asia, The Middle East",Football (soccer)
Kuwait,AFC,0,0.1,2.964966589,DNQ,0,0,Asia,"Western Asia, The Middle East",Football (soccer)
Bulgaria,UEFA,0.1,0.2,2,DNQ,0,0,Europe,Eastern Europe,Football (soccer)
Serbia,UEFA,0.1,0.3,3,Group Stage,0,0,Europe,Southern Europe,Football (soccer)
Belarus,UEFA,0.1,0.2,2,DNQ,0,0,Europe,Eastern Europe,Football (soccer)
Hong Kong,AFC,0.1,0.1,1,DNQ,0,0,Asia,Eastern Asia,Basketball
Croatia,UEFA,0.1,0.1,1,DNQ,0,1,Europe,Southern Europe,Football (soccer)
Oman,AFC,0,0,0.928407733,DNQ,0,0,Asia,"Western Asia, The Middle East",Football (soccer)
Azerbaijan,UEFA,0.1,0.1,1,DNQ,0,0,Asia,Western Asia,Football (soccer)
New Zealand,OFC,0.1,0.1,1,DNQ,0,0,Oceania,Australia and New Zealand,Rugby
Lithuania,UEFA,0,0.1,2.964966589,DNQ,0,0,Europe,Northern Europe,Basketball
Slovenia,UEFA,0,0.1,2.964966589,Group Stage,0,0,Europe,Southern Europe,Football (soccer)
Uruguay,CONMEBOL,0,0.1,2.964966589,Semifinals,2,0,South America,"South America, Latin America",Football (soccer)
Costa Rica,CONCACAF,0.1,0.2,2,DNQ,0,0,North America,"Central America, Latin America",Football (soccer)
Uzbekistan,AFC,0.4,0.5,1.25,DNQ,0,0,Asia,"Central Asia, South Central Asia",Football (soccer)
Yemen,CAF,0.3,0.4,1.333333333,DNQ,0,0,Asia,"Western Asia, The Middle East",Football (soccer)
Israel,UEFA,0.1,0.1,1,DNQ,0,0,Asia,"Western Asia, The Middle East",Football (soccer)
El Salvador,CONCACAF,0.1,0.2,2,DNQ,0,0,North America,"Central America, Latin America",Football (soccer)
Syria,AFC,0.3,0.3,1,DNQ,0,0,Asia,"Western Asia, The Middle East",Football (soccer)
Pakistan,AFC,2.5,0.4,0.16,DNQ,0,0,Asia,"Southern Asia, South Central Asia",Cricket
Guatemala,CONCACAF,0.2,0.2,1,DNQ,0,0,North America,"Central America, Latin America",Football (soccer)
Paraguay,CONMEBOL,0.1,0.2,2,Quarter-finals,0,0,South America,"South America, Latin America",Football (soccer)
Panama,CONCACAF,0.1,0.1,1,DNQ,0,0,North America,"Central America, Latin America",Baseball
Bosnia and Herzegovina,UEFA,0.1,0.1,1,DNQ,0,0,Europe,Southern Europe,Football (soccer)
